source_url,anchor_text,target_url,final_url,http_status,scope,classification,merchant,affiliate_program,affiliate_tracking_present,amazon_tag,rel,note,checked_at
"https://www.printlog3d.com/","ASA-CF 240-270 °C nozzle · 90-110 °C bed Enclosure · dry first","https://www.printlog3d.com/library/asa-cf","https://www.printlog3d.com/library/asa-cf","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PEEK 370-420 °C nozzle · 120-160 °C bed Enclosure · dry first","https://www.printlog3d.com/library/peek","https://www.printlog3d.com/library/peek","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PC-CF 260-300 °C nozzle · 100-120 °C bed Enclosure · dry first","https://www.printlog3d.com/library/pc-cf","https://www.printlog3d.com/library/pc-cf","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PEI 370-410 °C nozzle · 140-180 °C bed Enclosure · dry first","https://www.printlog3d.com/library/pei","https://www.printlog3d.com/library/pei","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PPS 300-340 °C nozzle · 120-150 °C bed Enclosure · dry first","https://www.printlog3d.com/library/pps","https://www.printlog3d.com/library/pps","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Compare all 31 side by side","https://www.printlog3d.com/library","https://www.printlog3d.com/library","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","How to dry filament Which materials need it, at what temperature, for how long. ","https://www.printlog3d.com/how-to-dry-filament","https://www.printlog3d.com/how-to-dry-filament","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","How to stop stringing Retraction, temperature, and the moisture cause most peopl","https://www.printlog3d.com/3d-print-stringing","https://www.printlog3d.com/3d-print-stringing","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","The full filament guide How the material families differ and when each one earns","https://www.printlog3d.com/3d-printing-filament-guide","https://www.printlog3d.com/3d-printing-filament-guide","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PLA vs PETG The comparison people actually search for, answered with the trade-o","https://www.printlog3d.com/pla-vs-petg","https://www.printlog3d.com/pla-vs-petg","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Get the field guide","https://www.printlog3d.com/free-download","https://www.printlog3d.com/free-download","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Get a quote","https://www.3dprinterondemand.com/instant-quote?source=printlog3d&source_page=%2F&placement=owned-service-guide-thanks&campaign=printlog3d-referral","https://www.3dprinterondemand.com/instant-quote?source=printlog3d&source_page=%2F&placement=owned-service-guide-thanks&campaign=printlog3d-referral","200","external","commercial","3DPrinterOnDemand","owned-service","n/a-no-credentials","","noopener noreferrer","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Materials","https://www.printlog3d.com/library","https://www.printlog3d.com/library","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Guides","https://www.printlog3d.com/3d-printing-filament-guide","https://www.printlog3d.com/3d-printing-filament-guide","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Workshop","https://www.printlog3d.com/workshop","https://www.printlog3d.com/workshop","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Recommended Gear","https://www.printlog3d.com/recommended-gear","https://www.printlog3d.com/recommended-gear","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Get It Printed","https://www.printlog3d.com/get-it-printed","https://www.printlog3d.com/get-it-printed","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Free Download","https://www.printlog3d.com/free-download","https://www.printlog3d.com/free-download","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","About","https://www.printlog3d.com/about","https://www.printlog3d.com/about","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Support","https://www.printlog3d.com/support","https://www.printlog3d.com/support","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Editorial policy","https://www.printlog3d.com/editorial-policy","https://www.printlog3d.com/editorial-policy","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Disclosure","https://www.printlog3d.com/disclosure","https://www.printlog3d.com/disclosure","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Privacy","https://www.printlog3d.com/privacy","https://www.printlog3d.com/privacy","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Terms","https://www.printlog3d.com/terms","https://www.printlog3d.com/terms","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/library","","https://www.printlog3d.com/","https://www.printlog3d.com/","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
